sales_order_id,created_at,last_updated,design_id,staff_id,counterparty_id,units_sold,unit_price,currency_id,agreed_delivery_date,agreed_payment_date,agreed_delivery_location
1,2022-11-03 14:20:52.186000,2022-11-03 14:20:52.186000,9,16,18,84754,2.43,3,2022-11-10,2022-11-03,4
2,2022-11-03 14:20:52.186000,2022-11-03 14:20:52.186000,3,19,8,42972,3.94,2,2022-11-07,2022-11-08,8
3,2022-11-03 14:20:52.188000,2022-11-03 14:20:52.188000,4,10,4,65839,2.91,3,2022-11-06,2022-11-07,19
4,2022-11-03 14:20:52.188000,2022-11-03 14:20:52.188000,4,10,16,32069,3.89,2,2022-11-05,2022-11-07,15
5,2022-11-03 14:20:52.186000,2022-11-03 14:20:52.186000,7,18,4,49659,2.41,3,2022-11-05,2022-11-08,25
6,2022-11-04 11:37:10.341000,2022-11-04 11:37:10.341000,3,13,18,83908,3.99,3,2022-11-04,2022-11-07,17
7,2022-11-04 12:57:09.926000,2022-11-04 12:57:09.926000,7,11,10,65453,2.89,2,2022-11-04,2022-11-09,28
8,2022-11-04 13:45:10.306000,2022-11-04 13:45:10.306000,2,11,20,20381,2.22,2,2022-11-06,2022-11-07,8
10,2022-11-07 09:07:10.485000,2022-11-07 09:07:10.485000,3,16,12,61620,3.86,2,2022-11-09,2022-11-10,20
11,2022-11-07 15:53:10.153000,2022-11-07 15:53:10.153000,9,14,12,35227,3.41,2,2022-11-08,2022-11-13,13
12,2022-11-09 10:20:09.912000,2022-11-09 10:20:09.912000,2,8,12,7693,3.88,2,2022-11-13,2022-11-11,15
13,2022-11-09 15:16:10.492000,2022-11-09 15:16:10.492000,7,3,7,2845,2.97,3,2022-11-16,2022-11-14,2
14,2022-11-10 13:18:09.926000,2022-11-10 13:18:09.926000,6,11,5,82159,2.65,3,2022-11-15,2022-11-14,6
15,2022-11-11 08:51:10.286000,2022-11-11 08:51:10.286000,9,7,10,74957,3.25,3,2022-11-12,2022-11-15,28
17,2022-11-15 08:46:09.873000,2022-11-15 08:46:09.873000,7,20,13,36220,2,3,2022-11-20,2022-11-19,9
18,2022-11-16 08:17:10.016000,2022-11-16 08:17:10.016000,9,20,17,93380,2.95,2,2022-11-20,2022-11-20,2
19,2022-11-16 09:05:10.336000,2022-11-16 09:05:10.336000,13,13,10,41878,2.29,2,2022-11-17,2022-11-18,15
21,2022-11-17 11:47:09.942000,2022-11-17 11:47:09.942000,5,18,18,42135,3.63,3,2022-11-18,2022-11-18,27
22,2022-11-17 17:13:10.235000,2022-11-17 17:13:10.235000,4,7,11,92468,2.7,2,2022-11-20,2022-11-20,19
25,2022-11-18 12:27:09.924000,2022-11-18 12:27:09.924000,4,16,15,19231,2.45,2,2022-11-22,2022-11-20,12
16,2022-11-14 15:32:10.333000,2022-11-14 15:32:10.333000,4,15,16,22626,2.55,3,2022-11-20,2022-11-20,29
26,2022-11-21 08:54:09.974000,2022-11-21 08:54:09.974000,4,17,13,74152,2.61,3,2022-11-25,2022-11-24,29
24,2022-11-18 11:32:10.363000,2022-11-18 11:32:10.363000,13,19,12,35424,3.75,3,2022-11-20,2022-11-19,28
28,2022-11-22 11:21:10.343000,2022-11-22 11:21:10.343000,4,13,10,69611,3.08,2,2022-11-24,2022-11-26,5
29,2022-11-22 12:23:10.271000,2022-11-22 12:23:10.271000,5,18,15,34227,2.88,3,2022-11-28,2022-11-23,15
30,2022-11-22 13:15:10.374000,2022-11-22 13:15:10.374000,2,16,12,39968,3.99,3,2022-11-26,2022-11-28,4
31,2022-11-22 16:42:10.511000,2022-11-22 16:42:10.511000,3,14,8,30606,2.11,2,2022-11-29,2022-11-23,28
27,2022-11-21 16:46:10.282000,2022-11-21 16:46:10.282000,6,15,15,42254,3.59,2,2022-11-27,2022-11-25,29
32,2022-11-23 16:24:10.261000,2022-11-23 16:24:10.261000,10,18,4,80203,3.4,2,2022-11-26,2022-11-27,27
34,2022-11-24 08:22:10.200000,2022-11-24 08:22:10.200000,9,4,15,91411,3.92,3,2022-11-29,2022-11-28,21
68,2022-12-12 10:12:10.163000,2022-12-12 10:12:10.163000,13,17,5,24572,3.96,2,2022-12-17,2022-12-18,26
23,2022-11-18 08:44:10.251000,2022-11-18 08:44:10.251000,14,12,10,84270,3.52,2,2022-11-28,2022-11-19,28
